#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Thu Jun 04 01:56:58 2020

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       register_bank_easy_map.ncd
#OUTPUT FILE:      register_bank_easy_pad.csv
#PART TYPE:        xc7a100t
#SPEED GRADE:      -3
#PACKAGE:          csg324
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
T12,,,VCCO_14,,,14,,,,,1.80,,,,
T13,SEL_A<4>,IOB,IO_L23P_T3_A03_D19_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
T14,TO_BUS_A<15>,IOB,IO_L14P_T2_SRCC_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
T15,IN1<4>,IOB,IO_L14N_T2_SRCC_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
T16,IN1<6>,IOB,IO_L15N_T2_DQS_DOUT_CSO_B_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
T17,,,GND,,,,,,,,,,,,
T18,SEL_B<1>,IOB,IO_L7N_T1_D10_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
U1,C_SEL<0>,IOB,IO_L7P_T1_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
U2,,IOB33M,IO_L9P_T1_DQS_34,UNUSED,,34,,,,,,,,,
U3,C_SEL<3>,IOB,IO_L8N_T1_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
U4,C_SEL<1>,IOB,IO_L8P_T1_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
U5,,,VCCO_34,,,34,,,,,1.80,,,,
U6,,IOB33S,IO_L22N_T3_34,UNUSED,,34,,,,,,,,,
U7,,IOB33M,IO_L22P_T3_34,UNUSED,,34,,,,,,,,,
U8,,IOB33,IO_25_34,UNUSED,,34,,,,,,,,,
U9,,IOB33M,IO_L21P_T3_DQS_34,UNUSED,,34,,,,,,,,,
U10,,,GND,,,,,,,,,,,,
U11,IN1<14>,IOB,IO_L19N_T3_A09_D25_VREF_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
U12,IN1<12>,IOB,IO_L20P_T3_A08_D24_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
U13,SEL_A<1>,IOB,IO_L23N_T3_A02_D18_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
U14,SEL_A<2>,IOB,IO_L22P_T3_A05_D21_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
U15,,,VCCO_14,,,14,,,,,1.80,,,,
U16,IN1<8>,IOB,IO_L18P_T2_A12_D28_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
U17,IN1<9>,IOB,IO_L17P_T2_A14_D30_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
U18,IN1<0>,IOB,IO_L17N_T2_A13_D29_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
V1,,IOB33S,IO_L7N_T1_34,UNUSED,,34,,,,,,,,,
V2,,IOB33S,IO_L9N_T1_DQS_34,UNUSED,,34,,,,,,,,,
V3,,,GND,,,,,,,,,,,,
V4,,IOB33S,IO_L10N_T1_34,UNUSED,,34,,,,,,,,,
V5,,IOB33M,IO_L10P_T1_34,UNUSED,,34,,,,,,,,,
V6,,IOB33S,IO_L20N_T3_34,UNUSED,,34,,,,,,,,,
V7,,IOB33M,IO_L20P_T3_34,UNUSED,,34,,,,,,,,,
V8,,,VCCO_34,,,34,,,,,1.80,,,,
V9,,IOB33S,IO_L21N_T3_DQS_34,UNUSED,,34,,,,,,,,,
V10,SEL_A<0>,IOB,IO_L21P_T3_DQS_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
V11,IN1<11>,IOB,IO_L21N_T3_DQS_A06_D22_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
V12,IN1<15>,IOB,IO_L20N_T3_A07_D23_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
V13,,,GND,,,,,,,,,,,,
V14,IN1<10>,IOB,IO_L22N_T3_A04_D20_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
V15,IN1<7>,IOB,IO_L16P_T2_CSI_B_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
V16,IN1<1>,IOB,IO_L16N_T2_A15_D31_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
V17,IN1<5>,IOB,IO_L18N_T2_A11_D27_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
V18,,,VCCO_14,,,14,,,,,1.80,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#All RSVD_0 pins must be tied to GROUND.
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
